Identifier,link
sw1,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw2,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw3,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw4,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw5,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw6,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw7,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw8,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw9,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw10,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw11,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw12,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw13,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw14,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw15,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
sw16,https://www.digikey.com/en/products/detail/e-switch/LL1105AF065Q/3777946
d1,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d2,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d3,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d4,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d5,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d6,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d7,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d8,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d9,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d10,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d11,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d12,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d13,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d14,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d15,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d16,https://www.digikey.com/en/products/detail/kyocera-avx/SD1206S100S1R0/3749503
d17,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d18,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d19,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d20,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d21,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d22,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d23,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d24,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d25,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d26,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d27,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d28,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d29,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d30,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d31,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
d32,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1655/5154679
c1,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c2,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c3,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c4,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c5,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c6,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c7,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c8,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c9,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c10,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c11,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c12,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c13,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c14,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c15,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
c16,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675
